idx	name	unmapped	call_count	categories	first_line	first_context
24	TAIL_SHORT		1	var-assign	674	fVar39 = (float)FUN_1400a5d20(local_508,0x18);
25	TAIL_ASPECT		1	var-assign	668	fVar40 = (float)FUN_1400a5d20(local_508,0x19);
26	TAIL_ANGLE		1	var-assign	1444	fVar38 = (float)FUN_1400a5d20(local_508,0x1a);
27	TAIL_JOINT_TYPE		1	var-assign	1448	fVar38 = (float)FUN_1400a5e00(local_508,0x1b);
28	TAIL_STIFF		1	var-assign	1452	iVar15 = FUN_1400a5e00(local_508,0x1c);
29	TAIL_SPEED		1	var-assign	710	fVar35 = (float)FUN_1400a5d20(local_508,0x1d);
30	TAIL_FLEXIBILITY		1	var-assign	1460	fVar38 = (float)FUN_1400a5d20(local_508,0x1e);
31	TAIL_SHAPE		1	var-assign	680	fVar37 = (float)FUN_1400a5e00(local_508,0x1f);
32	TAIL_BOTTOM	Y	2	conditional,var-assign	1520	iVar16 = FUN_1400a5e00(local_508,0x20);
33	TAIL_SEGMENTS	Y	1	conditional	716	if ((param_1[0xa9] == 1.4013e-45) && (iVar15 = FUN_1400a5e00(local_508,0x21), 1 < iVar15)) {
34	LEG_TAG		1	var-assign	1568	fVar35 = (float)FUN_1400a5e00(local_508,0x22);
35	LEG_TYPE		1	var-assign	730	iVar15 = FUN_1400a5e00(local_508,0x23);
36	LEG_LENGTH		1	var-assign	738	fVar39 = (float)FUN_1400a5d20(local_508,0x24);
37	LEG_STRETCH		2	var-assign	734	fVar35 = (float)FUN_1400a5d20(local_508,0x25);
38	LEG_STRETCH2		2	var-assign	736	fVar37 = (float)FUN_1400a5d20(local_508,0x26);
39	LEG_STRENGTH		2	var-assign	742	fVar35 = (float)FUN_1400a5d20(local_508,0x27);
40	LEG_HAS_FOOT		1	var-assign	758	iVar16 = FUN_1400a5e00(local_508,0x28);
41	LEG_JOINT_TYPE		1	var-assign	1616	fVar35 = (float)FUN_1400a5e00(local_508,0x29);
42	LEG_FLEXIBILITY		3	var-assign	1634	fVar35 = (float)FUN_1400a5d20(local_508,0x2a);
43	LEG_FLEX_BIAS		3	var-assign	1642	fVar39 = (float)FUN_1400a5d20(local_508,0x2b);
44	LEG_THRUST_BACK	Y	2	var-assign	1650	iVar16 = FUN_1400a5e00(local_508,0x2c);
45	LEG_IS_CIRCLE	Y	2	var-assign	864	iVar15 = FUN_1400a5e00(local_508,0x2d);
46	LEG_COUNT		1	var-assign	1680	fVar35 = (float)FUN_1400a5e00(local_508,0x2e);
47	LEG_SKEW		1	var-assign	826	fVar39 = (float)FUN_1400a5d20(local_508,0x2f);
48	LEG_PENCIL	Y	1	var-assign	876	fVar40 = (float)FUN_1400a5d20(local_508,0x30);
49	LEG_AND_ARM_LIMP		2	var-assign	1624	iVar16 = FUN_1400a5e00(local_508,0x31);
50	HAS_KNEE	Y	2	var-assign	832	iVar16 = FUN_1400a5e00(local_508,0x32);
51	KNEE_MIN	Y	1	var-assign	836	fVar39 = (float)FUN_1400a5d20(local_508,0x33);
52	KNEE_MAX	Y	1	var-assign	852	fVar39 = (float)FUN_1400a5d20(local_508,0x34);
53	ARM_TAG		1	var-assign	1704	fVar35 = (float)FUN_1400a5e00(local_508,0x35);
54	ARM_TYPE		1	var-assign	900	iVar15 = FUN_1400a5e00(local_508,0x36);
55	ARM_LENGTH		1	var-assign	910	fVar42 = (float)FUN_1400a5d20(local_508,0x37);
56	ARM_STRETCH	Y	0			
57	ARM_STRETCH2	Y	0			
58	ARM_STRENGTH		2	var-assign	914	fVar41 = (float)FUN_1400a5d20(local_508,0x3a);
59	ARM_HAS_HAND		1	var-assign	926	iVar16 = FUN_1400a5e00(local_508,0x3b);
60	ARM_JOINT_TYPE		1	var-assign	1736	fVar35 = (float)FUN_1400a5e00(local_508,0x3c);
61	ARM_FLEXIBILITY		3	var-assign	1778	fVar43 = (float)FUN_1400a5d20(local_508,0x3d);
62	ARM_FLEX_BIAS		3	var-assign	1786	fVar35 = (float)FUN_1400a5d20(local_508,0x3e);
63	ARM_FORWARD		1	var-assign	1768	fVar43 = (float)FUN_1400a5d20(local_508,0x3f);
64	ARM_SKEW		1	var-assign	966	fVar43 = (float)FUN_1400a5d20(local_508,0x40);
65	ARM_NODE_SCALE		1	var-assign	1700	fVar35 = (float)FUN_1400a5d20(local_508,0x41);
66	HAS_ELBOW	Y	1	var-assign	972	iVar16 = FUN_1400a5e00(local_508,0x42);
67	ELBOW_RANGE	Y	1	var-assign	976	fVar43 = (float)FUN_1400a5d20(local_508,0x43);
